The United States of America, Exposure to risk (period 1x5), 	Last modified: 02 Oct 2019;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
1933-1934        0           1906136.03      1972065.37      3878201.40
1933-1934        1           1963838.75      2009723.51      3973562.26
1933-1934        2           2120528.28      2164132.46      4284660.74
1933-1934        3           2184969.73      2236390.38      4421360.11
1933-1934        4           2218518.50      2282259.99      4500778.49
1933-1934        5           2291259.40      2397006.98      4688266.38
1933-1934        6           2334041.20      2440861.07      4774902.27
1933-1934        7           2374313.43      2468121.24      4842434.67
1933-1934        8           2408985.89      2486719.55      4895705.45
1933-1934        9           2439927.22      2500614.47      4940541.69
1933-1934       10           2462850.04      2509356.07      4972206.10
1933-1934       11           2483922.09      2521703.66      5005625.75
1933-1934       12           2483478.97      2516751.43      5000230.40
1933-1934       13           2452470.27      2479705.08      4932175.36
1933-1934       14           2412458.20      2430533.16      4842991.36
1933-1934       15           2378513.93      2386979.71      4765493.64
1933-1934       16           2354451.25      2353470.07      4707921.33
1933-1934       17           2340406.25      2329928.14      4670334.39
1933-1934       18           2331174.18      2311772.84      4642947.01
1933-1934       19           2321038.72      2293519.34      4614558.06
1933-1934       20           2307571.73      2272388.02      4579959.75
1933-1934       21           2289496.04      2246813.53      4536309.57
1933-1934       22           2266369.72      2216448.92      4482818.64
1933-1934       23           2239757.90      2183136.84      4422894.74
1933-1934       24           2211450.45      2149206.01      4360656.46
1933-1934       25           2180711.09      2115223.64      4295934.73
1933-1934       26           2145953.38      2080887.29      4226840.67
1933-1934       27           2107521.12      2046479.05      4154000.17
1933-1934       28           2067478.42      2012694.75      4080173.17
1933-1934       29           2027378.09      1979967.92      4007346.00
1933-1934       30           1987892.42      1948367.36      3936259.78
1933-1934       31           1949427.33      1917826.63      3867253.96
1933-1934       32           1911901.15      1888251.10      3800152.25
1933-1934       33           1874271.14      1859026.80      3733297.94
1933-1934       34           1836568.28      1830444.84      3667013.12
1933-1934       35           1803658.39      1807352.42      3611010.81
1933-1934       36           1782431.08      1796637.97      3579069.04
1933-1934       37           1774095.42      1799332.38      3573427.80
1933-1934       38           1773255.73      1809690.07      3582945.79
1933-1934       39           1773276.05      1820709.28      3593985.33
1933-1934       40           1765597.23      1823923.02      3589520.25
1933-1934       41           1740711.79      1810166.99      3550878.78
1933-1934       42           1696747.87      1777599.81      3474347.68
1933-1934       43           1641381.81      1733522.77      3374904.58
1933-1934       44           1582819.55      1685597.66      3268417.22
1933-1934       45           1526282.71      1637795.68      3164078.39
1933-1934       46           1475427.06      1592267.57      3067694.62
1933-1934       47           1430698.10      1548885.17      2979583.27
1933-1934       48           1388550.22      1505192.77      2893742.99
1933-1934       49           1345958.25      1459556.89      2805515.14
1933-1934       50           1302752.63      1412644.63      2715397.26
1933-1934       51           1260036.52      1366103.79      2626140.31
1933-1934       52           1218662.40      1320900.96      2539563.36
1933-1934       53           1178791.94      1276914.86      2455706.80
1933-1934       54           1139843.40      1233237.05      2373080.46
1933-1934       55           1100314.81      1188219.00      2288533.81
1933-1934       56           1058649.12      1140349.54      2198998.66
1933-1934       57           1014621.32      1089629.91      2104251.23
