Age,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
39,0.00018,0.00026,0.00032,0.00039,0.00047,0.00055,0.00065,0.00077,0.0009,0.00106,0.00124,0.00146,0.00171,0.00201,0.00235
40,0.00019,0.00028,0.00035,0.00042,0.00051,0.0006,0.00072,0.00085,0.001,0.00118,0.00139,0.00164,0.00193,0.00226,0.00265
41,0.00021,0.0003,0.00038,0.00046,0.00056,0.00067,0.0008,0.00094,0.00112,0.00132,0.00156,0.00184,0.00217,0.00255,0.00299
42,0.00022,0.00032,0.00041,0.0005,0.00061,0.00074,0.00088,0.00105,0.00125,0.00149,0.00176,0.00207,0.00244,0.00287,0.00337
43,0.00024,0.00035,0.00045,0.00056,0.00068,0.00082,0.00099,0.00118,0.00141,0.00167,0.00198,0.00234,0.00276,0.00324,0.0038
44,0.00026,0.00038,0.00049,0.00062,0.00075,0.00092,0.0011,0.00132,0.00158,0.00188,0.00223,0.00264,0.00311,0.00366,0.00429
45,0.00029,0.00042,0.00055,0.00068,0.00084,0.00102,0.00124,0.00149,0.00178,0.00212,0.00251,0.00297,0.00351,0.00412,0.00482
46,0.00031,0.00047,0.00061,0.00076,0.00094,0.00115,0.00139,0.00167,0.002,0.00239,0.00284,0.00335,0.00395,0.00464,0.00542
47,0.00035,0.00052,0.00067,0.00085,0.00105,0.00129,0.00156,0.00188,0.00226,0.00269,0.0032,0.00378,0.00445,0.00521,0.00626
48,0.00038,0.00057,0.00075,0.00095,0.00118,0.00145,0.00176,0.00212,0.00255,0.00304,0.0036,0.00425,0.00499,0.00602,0.00733
49,0.00043,0.00064,0.00084,0.00107,0.00133,0.00163,0.00198,0.00239,0.00287,0.00342,0.00405,0.00477,0.00577,0.00705,0.0084
50,0.00047,0.00072,0.00095,0.0012,0.0015,0.00184,0.00224,0.0027,0.00323,0.00384,0.00455,0.00551,0.00675,0.00807,0.00948
51,0.00053,0.0008,0.00106,0.00135,0.00169,0.00207,0.00252,0.00304,0.00363,0.00431,0.00525,0.00645,0.00774,0.00911,0.01056
52,0.00059,0.0009,0.00119,0.00152,0.0019,0.00233,0.00284,0.00341,0.00408,0.00498,0.00615,0.00739,0.00873,0.01014,0.01163
53,0.00066,0.00101,0.00134,0.00171,0.00214,0.00263,0.00319,0.00383,0.00471,0.00583,0.00704,0.00834,0.00971,0.01117,0.01271
54,0.00074,0.00114,0.00151,0.00193,0.0024,0.00295,0.00357,0.00442,0.00551,0.00668,0.00794,0.00928,0.0107,0.01221,0.01379
55,0.00083,0.00128,0.0017,0.00217,0.0027,0.00331,0.00413,0.00517,0.00631,0.00753,0.00884,0.01022,0.0117,0.01325,0.01488
56,0.00093,0.00144,0.00191,0.00243,0.00303,0.00382,0.00483,0.00592,0.00711,0.00838,0.00973,0.01117,0.01269,0.01428,0.01596
57,0.00105,0.00161,0.00214,0.00273,0.00349,0.00446,0.00552,0.00667,0.00791,0.00923,0.01063,0.01212,0.01368,0.01532,0.01704
58,0.00117,0.00181,0.0024,0.00314,0.00408,0.00511,0.00622,0.00742,0.00871,0.01008,0.01153,0.01306,0.01467,0.01636,0.01812
